"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Zach Davies","Brewers","2","0","0","3","3","17.2","6.62","3.06","1.02",".294","89.6 %","49.1 %","11.8 %","1.53","4.33","4.66","0.2","13183"
"Lucas Giolito","White Sox","2","1","0","3","3","16.0","10.13","5.06","1.13",".317","51.9 %","44.2 %","18.2 %","6.19","4.20","3.86","0.2","15474"
"Jordan Zimmermann","Tigers","0","2","0","4","4","21.0","6.43","1.71","1.71",".246","69.0 %","35.4 %","12.9 %","4.29","4.76","5.04","0.2","4505"
"Zach Eflin","Phillies","2","1","0","3","3","16.0","10.13","0.56","2.25",".349","90.3 %","32.6 %","19.0 %","3.94","4.33","3.53","0.2","13774"
"Yusei Kikuchi","Mariners","0","1","0","5","5","27.2","6.51","1.95","1.63",".247","58.3 %","47.1 %","17.2 %","4.23","4.70","4.30","0.2","20633"
"Tyson Ross","Tigers","1","2","0","3","3","18.0","7.50","4.50","1.00",".255","74.3 %","55.1 %","20.0 %","3.50","4.42","4.01","0.2","7872"
"Madison Bumgarner","Giants","1","2","0","4","4","26.0","7.96","1.38","1.73",".224","63.2 %","37.7 %","18.5 %","3.12","4.56","4.00","0.2","5524"
"Mike Minor","Rangers","1","1","0","3","3","18.2","7.23","2.89","1.45",".240","78.7 %","47.2 %","14.3 %","3.86","4.75","4.76","0.2","10021"
"David Hess","Orioles","1","2","0","4","3","19.0","7.11","2.37","1.89",".167","87.7 %","23.1 %","12.5 %","3.32","5.09","5.50","0.2","16130"
"Jake Arrieta","Phillies","2","1","0","3","3","20.0","6.75","4.50","0.90",".212","90.1 %","40.7 %","9.5 %","2.25","4.74","5.40","0.2","4153"
"Julio Teheran","Braves","2","1","0","4","4","21.0","9.86","4.29","1.71",".309","78.7 %","37.3 %","19.0 %","4.71","4.86","4.25","0.2","6797"
"Dereck Rodriguez","Giants","1","2","0","3","3","17.1","6.23","0.52","1.56",".231","70.3 %","47.2 %","16.7 %","4.15","4.35","4.04","0.1","14509"
"Derek Holland","Giants","1","2","0","4","4","22.0","11.05","4.91","1.64",".255","81.2 %","32.0 %","15.4 %","4.09","4.82","4.67","0.1","4141"
"Freddy Peralta","Brewers","1","0","0","4","4","17.2","11.21","3.57","2.55",".319","68.2 %","21.6 %","18.5 %","7.13","5.86","5.03","0.1","18679"
"Marco Estrada","Athletics","0","1","0","4","4","20.1","4.43","2.21","2.21",".200","72.2 %","20.3 %","11.1 %","4.87","6.39","7.32","0.0","1118"
"Anibal Sanchez","Nationals","0","1","0","3","3","16.2","5.94","3.78","1.62",".283","76.9 %","37.0 %","16.7 %","4.86","5.42","5.10","0.0","3284"
"Jorge Lopez","Royals","0","1","0","3","3","17.0","6.88","3.18","1.59",".229","76.0 %","43.1 %","14.3 %","3.71","4.96","4.98","0.0","14527"
"Trevor Cahill","Angels","1","1","0","4","4","22.0","7.36","1.64","2.05",".230","77.8 %","33.8 %","16.7 %","4.50","5.28","4.87","0.0","6249"
"Zack Greinke","Diamondbacks","2","1","0","4","4","23.1","10.80","1.54","3.09",".281","71.4 %","33.9 %","33.3 %","5.79","5.71","3.18","0.0","1943"
"Zack Godley","Diamondbacks","1","1","0","3","3","17.0","8.47","4.24","2.12",".277","56.1 %","40.8 %","21.1 %","7.41","6.08","5.11","-0.1","14862"
"Mike Fiers","Athletics","2","1","0","5","5","21.2","6.65","4.15","1.66",".299","62.5 %","44.3 %","13.8 %","7.06","5.73","5.83","-0.1","7754"
"Jhoulys Chacin","Brewers","2","2","0","4","4","19.1","7.91","5.12","2.33",".204","63.2 %","42.6 %","21.7 %","6.52","6.45","5.31","-0.1","2608"
"Aaron Nola","Phillies","1","0","0","4","4","19.1","8.84","5.12","2.33",".308","60.0 %","49.1 %","27.8 %","7.45","6.24","4.62","-0.1","16149"
"Andrew Cashner","Orioles","3","1","0","4","4","20.1","3.98","4.87","1.77",".277","73.0 %","49.3 %","15.4 %","5.31","6.44","6.27","-0.1","8782"
"Miles Mikolas","Cardinals","1","1","0","4","4","21.0","4.71","2.14","2.14",".275","68.0 %","45.9 %","19.2 %","6.00","6.33","5.55","-0.2","9803"
"Yu Darvish","Cubs","1","2","0","4","4","17.2","9.17","7.64","2.04",".273","73.0 %","52.1 %","30.8 %","6.11","6.93","5.36","-0.2","13074"
